"","id","lifespan","sum_degree","sum_strength","sum_eigen","mean_mat","mean_matSize","mean_HRO","mean_N","mean_E","matriline","LRS","LBS","mean.grp.size","matSize"
"1","AGA84",8,142,36.8976208378621,0.0403651035840981,1.5,75,0.288881993234653,8034.03576167905,1389.84862562172,"168",0,1,6.02127659574468,4
"2","ALB93",5,125,23.528904764425,0.0817657415826657,20.3333333333333,73.3333333333333,0.519154021834939,8041.94102626385,1377.90173120617,"153",0,3,11.0735294117647,54.5
"3","ALB94",8,242,56.6667750700542,0.234153267521989,19.5,72.5,0.526743597047465,8043.62022282579,1377.33439243675,"153",1,3,13.9186046511628,55
"4","ANK89",14,714,102.793754634352,1.01492929061589,24.7272727272727,71.0909090909091,0.636462699126817,8043.64434899511,1369.65122192346,"144",5,9,NA,37.9
"5","ANK90",12,849,112.345970312349,1.34823767680914,24.5,70.8,0.679259337294692,8041.84297481963,1368.16517763171,"144",3,5,NA,50.3333333333333
"6","ANK91",8,397,49.9873370629349,0.574278410556579,25.3333333333333,72.5,0.668447391135731,8041.67863189411,1367.90270427344,"144",2,5,9.52976190476191,47.8333333333333
"7","ANM02",13,667,100.843718275105,1.00220216531531,15.1818181818182,71.1111111111111,0.577602271251536,8044.17657301617,1374.80358947278,"144",1,6,11.1627408993576,32
"8","APR74",7,383,39.5890162430268,0.418648484175863,3.66666666666667,75,0.565248347764126,8026.44242146933,1360.38271339405,"122",2,2,13.75,11.6666666666667
"9","APR75",14,135,17.0387163744965,0.0910869920921009,3.5,75,0.508766572813465,8016.59076963573,1364.08636070287,"122",0,5,7.51612903225806,9.66666666666667
"10","ARA11",7,455,58.8858791793237,1.98900619141418,21.8,62.8,0.719333485535256,8040.10069500999,1366.41539406336,"147",1,2,14.8848167539267,102
"11","ARI96",5,162,24.717110644156,0.170931125209472,22.6666666666667,73.6666666666667,0.367682499518642,8005.54137877464,1363.87818657617,"132",1,2,13.6923076923077,54.3333333333333
"12","ASP78",12,1098,235.323001753957,1.61983452407935,15.1111111111111,72.75,0.550889785308028,8043.98854400726,1375.16802196364,"151",1,3,9.68478260869565,50.25
"13","AST90",11,625,94.2125936634495,0.68413106762158,24.5555555555556,71.1111111111111,0.608854331372801,8044.41541853537,1371.34088940703,"144",2,5,9.88888888888889,51.5
"14","ATH87",15,1094,181.659162988064,2.32932527973352,24.5384615384615,73.5,0.512310334596116,8013.99679153312,1363.35485619552,"132",5,7,14.8284789644013,46.125
"15","AVO89",15,1104,206.360984084199,7.84831593087468,29.4166666666667,72,0.616135776495522,8037.8948838126,1358.53570461673,"143",6,7,NA,65.5
"16","AVO90",14,1227,218.880646697369,8.18594046725648,29.4166666666667,72,0.625448738327307,8038.23075809247,1359.45083169228,"143",3,9,20.0473684210526,61
"17","BAC98",9,471,76.819883931889,0.757962811887127,25.4285714285714,70.1666666666667,0.603593962098317,8044.19750341409,1372.7694839027,"144",3,5,11.1841155234657,43.5
"18","BAR79",13,1361,251.441689883968,2.0849509194038,16.6363636363636,73.3,0.550212971215423,8045.379559532,1372.06426106125,"155",3,8,NA,22.7777777777778
"19","BAR80",13,1124,254.85427959922,1.64363521919373,16.8,73.1111111111111,0.520623986108524,8044.58420690671,1375.4258416519,"155",4,9,10.8934426229508,21.5
"20","BAR83",12,1111,230.101052024414,1.40657522757335,15,72.5,0.528341889700084,8043.78318672308,1376.39222712388,"155",4,6,NA,25
"21","BAR84",11,924,189.210213150104,1.11547328099447,15.625,73.1666666666667,0.543048170406526,8044.45634817762,1374.623360032,"155",0,6,NA,26.2857142857143
"22","BCL84",9,1108,312.127574122623,5.13930852130253,17.4285714285714,71.7142857142857,0.545543483106528,8038.38478357613,1359.46732146626,"144",0,3,15.2830188679245,72.5
"23","BCL87",6,542,157.564394874917,2.56192252221321,18.25,71.5,0.533740001206042,8037.62724128998,1358.483345096,"144",0,1,14.6091954022988,122.5
"24","BCL93",15,1287,235.577011988297,9.53569682235154,25.8461538461538,70.6666666666667,0.626813130085373,8038.12632374684,1359.08143296539,"144",5,11,NA,36.75
"25","BCL95",10,752,138.526695912207,5.24526617026883,28.4285714285714,71.1428571428571,0.628983273160476,8038.40650286219,1359.01423544638,"144",2,3,NA,57.5
"26","BCL96",12,963,180.282284731775,7.26674498456086,26.1111111111111,70,0.639537076822749,8038.43035672767,1358.97976398416,"144",3,5,NA,44.1666666666667
"27","BEA00",16,428,50.237074767978,0.214813119133665,3.78571428571429,74.1111111111111,0.416976181279971,8036.77354417673,1383.03637765869,"155",0,8,8.55757575757576,14.2222222222222
"28","BET73",13,1880,344.018932317529,5.22037176811255,10.9090909090909,74,0.701011626907253,8038.27939422544,1367.60701770153,"147",2,7,11.9011764705882,79.75
"29","BIE01",12,675,155.613062650585,8.4456648151902,7.9,74.5,0.590747796026134,8040.88839138266,1357.29273751152,"142",1,7,25.1666666666667,13.125
"30","BIE97",13,862,189.254231329016,8.81571280091806,7.90909090909091,73.8,0.597991511600397,8039.46661907334,1357.26289787743,"142",3,6,NA,13.2857142857143
"31","BIG76",12,1205,256.548896921036,1.48126310851625,1.7,74,0.557953189768334,8042.68957806331,1377.07393774811,"154",4,8,11.5675675675676,1.77777777777778
"32","BIGHE",12,1121,477.407619603828,2.84247792276377,1.57142857142857,74.5,0.617394465087806,8042.81641166241,1376.90801791392,"154",2,7,NA,2.75
"33","BIL84",16,1585,279.602621868625,2.82401282640792,2.14285714285714,74.875,0.625455479186796,8043.00148427543,1370.08400279995,"150",3,9,NA,2.2
"34","BIT01",8,424,48.8926521864799,1.44956229593197,41.2,71,0.678140182175024,8029.89343151038,1360.93815348265,"143",2,4,25.7042253521127,100.8
"35","BLO72",18,1424,393.968949451739,1.70793358854854,5.33333333333333,74.7272727272727,0.494643619385218,8039.50003248919,1382.25626967915,"156",2,12,NA,7.30769230769231
"36","BLO75",17,1339,243.215749108574,0.869721922617543,5.6,74.6363636363636,0.443912961730082,8039.48869380399,1383.37595539969,"156",3,8,6.71531100478469,9.33333333333333
"37","BLO80",7,397,72.9452949958454,0.306887743046958,6.6,74.75,0.428642642662675,8038.91344753693,1383.86589566019,"156",1,3,5.81147540983607,15.75
"38","BLOSS",19,1294,472.60432284949,2.45158704641419,5,74.7142857142857,0.542259639254485,8040.4346019776,1380.68794305283,"156",5,10,NA,6
"39","BLT68",13,1265,447.100842660995,3.22572712042918,11,74,0.691239748166721,8041.99919394769,1370.07127348325,"147",4,7,NA,74.375
"40","BLT69",16,1931,585.044937213571,4.9061921804564,10.6363636363636,74.1666666666667,0.708604928305868,8040.46412859835,1369.4961810832,"147",6,11,NA,51.5833333333333
"41","BLT73",10,1256,195.597174029699,2.03933104841686,11.375,74,0.65899262092308,8042.83407476592,1369.82789899772,"147",1,3,NA,149.5
"42","BLT75",17,2374,426.675211002171,4.55990398693552,11.8,74,0.613903821489901,8042.7626443252,1369.88417233467,"147",4,12,NA,49.6923076923077
"43","BLTLE",18,600,380.361740412198,2.24600035665447,9.75,NA,0.734408391906679,8040.40408131974,1370.42441615007,"147",7,9,NA,58.6
"44","BNX93",18,836,212.997578364974,1.24145471799336,18.9333333333333,72.7333333333333,0.496786080110832,8042.75280374433,1377.95641192684,"153",3,7,15.1740614334471,39.625
"45","BNX94",14,568,136.334944126978,0.694583445565047,19.3636363636364,72.8181818181818,0.496436000714456,8042.38745651197,1378.50501321653,"153",3,8,13.8112244897959,35.1111111111111
"46","BNX95",16,727,170.183439416599,1.04560088643043,18.8461538461538,72.6153846153846,0.504139519447694,8042.23673654395,1378.42934022267,"153",4,5,13.9576107899807,38.6666666666667
"47","BOT79",13,951,158.568419320435,0.78425917148857,2.90909090909091,74.4,0.541449448916591,8038.8604750306,1378.31149666523,"157",3,5,10.5037313432836,5.16666666666667
"48","BR274",14,2128,433.583152121106,7.3212224897793,10.6363636363636,73.7777777777778,0.671177500026221,8034.63653288321,1362.87434222857,"141",1,7,NA,13.75
"49","BRA72",11,1507,270.313955692147,2.10141386070234,9.5,73.8333333333333,0.509515373265762,8017.48081236625,1363.07562662613,"106",3,4,NA,14.6
"50","BRA77",11,211,25.0588632654752,0.146976609804987,9.66666666666667,73.5,0.401460490210194,8012.73429834655,1361.64930915054,"106",1,6,5.53571428571429,11.7142857142857
"51","BRF79",14,1968,408.116968401046,6.04265291520753,3.25,75,0.577369434575437,8029.76039901869,1362.90829942327,"135",4,8,NA,7
"52","BRO66",15,1447,527.792621859847,4.4904391384056,11.125,73.6666666666667,0.711420824895758,8039.53705348637,1366.57952415979,"141",6,9,NA,8.3
"53","BRO70",12,1652,574.790110004124,5.95087437201182,11.1111111111111,73.8571428571429,0.682437602906802,8036.12746327959,1362.57951186042,"141",1,6,NA,15.2857142857143
"54","BST73",10,1471,371.060798283568,6.21494736010929,4.75,74.8,0.665079812163482,8036.26085370784,1363.03178201153,"139",3,4,NA,17.6
"55","BSY04",6,251,27.9677856155763,0.584203977260052,59,68,0.608681804168441,8021.90887596453,1363.20336409451,"147",1,2,20.4576271186441,145.666666666667
"56","BUC81",0,1597,417.781795280555,8.36894068801461,18.0909090909091,72,0.558335968599713,8038.05842620668,1359.09117266772,"144",8,11,NA,29.8333333333333
"57","BUC82",18,1790,341.460254522621,3.3663604546582,20.4,72.0666666666667,0.60846817392862,8043.4559337577,1370.42291059785,"144",2,12,NA,27.3076923076923
"58","BUL65",15,829,409.649582113479,2.68180035253918,9.8,74.25,0.677705647592173,8043.4076500079,1370.46779499673,"144",2,7,NA,46.25
