"","ego","ego.birth","ego.mom","ego.survived.frist.year","mom.degree","mom.strength","mom.eigen","mom.obs","matSize","id","HRO2","LifetimeE","LifetimeN","centroid","year","matriline"
"HIA09","ABA14",2014,"HIA09",1,0.367249289646886,-0.618871437814494,-0.358352260168888,47,-0.992700146077695,"HIA09",1.39300603908939,0.11315365477681,0.682114852370679,4704.33876540528,2014,"144"
"HIA091","ABA16",2016,"HIA09",1,1.152685380544,1.13306440322064,1.14779302128992,45,-1.12731467343025,"HIA09",1.14647831624341,-0.412039075793199,0.336048314654034,4700.6149481918,2016,"144"
"HIA092","ABA17",2017,"HIA09",0,0.640444451698057,-0.334951010771828,-0.286986136842007,41,-1.32923646445909,"HIA09",0.725562373707882,0.214893167726593,0.645328459109363,4704.48036591961,2017,"144"
"IVO99","ABS04",2004,"IVO99",0,1.1868347758004,0.996162393514041,1.13385162424114,50,2.10343398303112,"IVO99",0.803824577082435,-0.582293930005143,0.27278423211718,4699.68096242478,2004,"147"
"IVO991","ABS06",2006,"IVO99",0,1.42588054259517,1.11331245187098,1.66855510244339,42,1.834204928326,"IVO99",1.07043015782001,-0.331263182108795,0.0494153750279125,4699.28988271606,2006,"147"
"IVO992","ABS08",2008,"IVO99",0,0.401398684903283,0.122234329955937,0.646616224360451,31,2.64189209244134,"IVO99",0.803235657062353,-0.284689482551464,0.354879172800091,4701.15447190144,2008,"147"
"IVO993","ABS11",2011,"IVO99",0,0.264801103877698,0.0364143852364319,0.769272836327159,31,2.17074124670739,"IVO99",1.02135030692284,-0.418329772701579,0.217084805671925,4699.9291902445,2011,"147"
"IVO994","ABS13",2013,"IVO99",0,0.60629505644166,0.632769597622095,1.50130712805332,48,1.63228313729717,"IVO99",0.934653117971024,-0.186633823891582,0.122763029468374,4700.19277111346,2013,"147"
"IVO995","ABS14",2014,"IVO99",0,0.572145661185264,-0.0343157954108201,0.425784789468862,51,0.689981445829267,"IVO99",1.2814404655786,-0.394535209181066,0.162082836645783,4699.70321481821,2014,"147"
"GKG07","ACA10",2010,"GKG07",0,-2.43300112137761,-2.17848261947719,-1.11086031659415,3,2.30535577405995,NA,NA,NA,NA,NA,NA,"147"
"GKG071","ACA11",2011,"GKG07",0,-2.33055293560842,-1.72976455004574,-1.10800721836495,7,2.17074124670739,"GKG07",-4.171510271452,-0.613835313652071,-3.77063523820638,4676.99461680531,2011,"147"
"MLD04","ACC08",2008,"MLD04",0,0.708743242210849,0.7645605687584,1.15197107866271,42,-1.46385099181164,"MLD04",0.678731028322722,-0.51844845009258,0.0728904253888759,4698.78250772485,2008,"136"
"FUL87","ALB93",1993,"FUL87",1,-0.144991639199058,0.914544695886543,-0.753423051715041,48,-0.858085618725138,"FUL87",-0.407015635031796,1.65449285574681,0.907791635431479,4710.85624344631,1993,"153"
"FUL871","ALB94",1994,"FUL87",1,-0.418186801250228,0.032794366729338,-0.994424275907066,46,-0.521549300343746,"FUL87",-0.669533832370112,1.72570461497118,0.844840582308882,4710.74761282004,1994,"153"
"FUL872","ALB97",1997,"FUL87",1,-0.86212893958338,0.252867004902596,-0.985787395899663,35,-0.252320245638632,"FUL87",-0.681490560024659,1.53403975945107,0.893528588719844,4710.36574968235,1997,"153"
"SUR87","ALD01",2001,"SUR87",1,-0.418186801250228,-0.67377083182088,-0.595755878988441,21,-0.31962750931491,"SUR87",-1.4596068884196,-0.552787120642629,-1.66168180347682,4688.97939999271,2001,"132"
"SUR871","ALD93",1993,"SUR87",1,-0.657232568045002,-0.422546513722416,-0.812458907858314,32,-0.117705718286075,"SUR87",-0.935110601960411,-0.543063018680231,-1.75997932221883,4688.46366663775,1993,"132"
"SUR872","ALD94",1994,"SUR87",1,0.401398684903283,-0.597309194440834,-0.790627803308727,33,0.084216072742761,"SUR87",-0.587344729944325,-0.805882422910157,-1.77487684008345,4687.4840393677,1994,"132"
"SUR873","ALD96",1996,"SUR87",1,-0.21329042971185,-0.090177958030275,-0.411284787365361,31,0.15152333641904,"SUR87",0.244219743743785,-0.214470829793442,-1.08506027739232,4693.35324574438,1996,"132"
"SUR874","ALD98",1998,"SUR87",1,0.0599047323393199,0.0216513601291557,-0.375687553702256,27,0.353445127447875,"SUR87",-0.510707538360138,-0.27499876351707,-1.32023188650112,4691.83357765589,1998,"132"
"SUR875","ALD99",1999,"SUR87",1,0.640444451698057,-0.118450337122657,-0.852093431038042,29,0.353445127447875,"SUR87",-0.118557738735219,-0.504627086810026,-1.37712739482973,4690.73264030836,1999,"132"
"PUF06","ALL11",2011,"PUF06",0,-0.725531358557795,-0.0565658978595876,-0.726652962594926,40,-0.723471091372581,"PUF06",-0.966149318288223,1.77442470226403,0.753430941575699,4710.40335148067,2011,"153"
"PUF061","ALL16",2016,"PUF06",0,-0.657232568045002,0.934898010825151,-0.54106300831054,53,-1.12731467343025,"PUF06",-1.150612480181,1.82207489058835,0.874370277194051,4711.2412137464,2016,"153"
"PUF062","ALL18",2018,"PUF06",0,-0.0766928486862653,0.195878567583599,1.38634585113117,47,-1.53115825548792,"PUF06",-0.47880870424226,1.74784931668382,0.638188705841147,4709.66918531249,2018,"153"
"USS12","AMC16",2016,"USS12",0,-0.58893377753221,0.770534131048981,-0.538095406429416,54,0.218830600095318,"USS12",-0.402538756472209,1.27738352850765,0.877849938569515,4709.40278218912,2016,"147"
"OPA08","AME12",2012,"OPA08",0,0.674593846954453,0.230417788957429,0.164790618640272,54,0.757288709505546,"OPA08",1.04248819776374,-0.21434791173868,0.25215252589807,4700.82076324213,2012,"143"
"OPA081","AME13",2013,"OPA08",1,0.98193840426202,0.120994251631861,0.919348429605154,48,1.2284395552395,"OPA08",0.866305184423039,-0.473894960937162,0.293842080861554,4700.16828402342,2013,"143"
"OPA082","AME16",2016,"OPA08",0,0.947789009005623,0.751973449987123,1.15854235335729,47,-0.185012981962353,"OPA08",1.11987319363157,-0.299529490978919,0.262124305375319,4700.58590456055,2016,"143"
"DAW12","AML16",2016,"DAW12",1,1.1868347758004,1.52467512298803,1.73300358358044,43,0.218830600095318,"DAW12",0.887540636868482,-0.540675532910358,0.37594668203239,4700.39898365128,2016,"147"
"ARI99","AND02",2002,"ARI99",1,-1.81831200676248,-1.53089245982119,-1.07004143542113,10,-0.386934772991189,"ARI99",-3.66101222577388,-0.793678906705677,-2.87219963535846,4681.39812962105,2002,"132"
"BAC98","ANM02",2002,"BAC98",1,-0.21329042971185,0.382236401949598,-0.768676488832773,46,0.084216072742761,"BAC98",-0.289350856891088,0.985122043649832,0.981093269289981,4708.98243981096,2002,"144"
"BAC981","ANM03",2003,"BAC98",1,-0.0766928486862653,0.147648394083948,-0.393574898933242,44,0.286137863771597,"BAC98",-0.24564348898685,1.13699864504432,1.01192634213018,4709.67264282567,2003,"144"
"BAC982","ANM04",2004,"BAC98",1,-0.418186801250228,-0.943152577315747,-0.959676873114009,39,0.689981445829267,"BAC98",0.448562177106253,0.697203768932394,0.809856502489907,4707.04419369396,2004,"144"
"BAC983","ANM07",2007,"BAC98",0,-0.998726520608965,-0.908942983974162,-0.963123879990147,32,0.15152333641904,"BAC98",-0.393452115094617,1.02619329134556,1.07061096229051,4709.62240142832,2007,"144"
"COQ94","ANT97",1997,"COQ94",1,-2.39885172612121,-1.42193988328975,-1.08513976227723,1,-0.185012981962353,NA,NA,NA,NA,NA,NA,"130"
"SEQ99","APA04",2004,"SEQ99",0,0.33309989439049,0.768187854472727,1.22379264517396,46,2.10343398303112,"SEQ99",0.734408199959236,-0.702120633371984,0.0918929557266654,4698.2621404569,2004,"147"
"SEQ991","APA05",2005,"SEQ99",0,1.32343235682598,1.3769442819189,1.29757731976294,48,1.69959040097345,"SEQ99",0.708107954983043,-0.676435549658537,-0.00329663750364598,4697.81820255993,2005,"147"
"SEQ992","APA07",2007,"SEQ99",1,0.98193840426202,0.839617659217619,1.43946128482875,41,2.50727756508879,"SEQ99",0.442439638932059,-1.01532885536075,0.178484227855468,4697.67736546955,2007,"147"
"SEQ993","APA12",2012,"SEQ99",1,0.777042032723642,0.0615436240805718,0.438252454283072,55,1.56497587362089,"SEQ99",0.768342316928161,-0.961193205811637,0.258943214106923,4698.31130333409,2012,"147"
"SEQ994","APA13",2013,"SEQ99",0,0.60629505644166,0.0212415097466774,1.08865305662694,40,1.63228313729717,"SEQ99",0.597058443532739,-0.917455108817681,0.338081651360306,4698.9024026274,2013,"147"
"THO86","APH00",2000,"THO86",0,-1.75001321624968,-1.62826101927802,-1.09141543667366,9,-0.050398454609796,"THO86",-3.65631889606986,-0.362656403726912,-3.16150910448749,4681.25275795338,2000,"132"
"THO861","APH93",1993,"THO86",1,-0.759680753814191,-0.728560290621367,-0.907890502486098,20,-0.117705718286075,"THO86",-2.71567198660023,-0.3331133217886,-2.43373867379404,4685.41745063767,1993,"132"
"THO862","APH94",1994,"THO86",0,-0.691381963301398,-1.16942603180153,-0.935435726963889,17,0.084216072742761,"THO86",-1.18488940891941,-0.631802140181424,-2.17770819085038,4685.82836067509,1994,"132"
"THO863","APH95",1995,"THO86",1,-1.40851926368572,-1.57775136680145,-0.917752646498334,17,0.0169088090664825,"THO86",-1.9053220433765,-0.565174577131399,-2.59417840860836,4683.7300160613,1995,"132"
"THO864","APH96",1996,"THO86",1,-1.27192168266014,-1.04983102489574,-0.951139150903681,16,0.15152333641904,"THO86",-3.15540503679482,-0.531235399239548,-2.70532166353727,4683.22514520428,1996,"132"
"THO865","APH98",1998,"THO86",1,-1.71586382099329,-1.89274225962503,-1.06096135766958,15,0.353445127447875,"THO86",-3.28831266497301,-0.301744774167282,-3.00575642734406,4682.33025340104,1998,"132"
"THO866","APH99",1999,"THO86",0,-1.98905898304446,-1.95773779170984,-1.08759724354614,12,0.353445127447875,"THO86",-3.51021251469137,-1.07994320796414,-3.03734123208904,4679.49956085902,1999,"132"
"HED01","ARA05",2005,"HED01",0,0.298950499134094,0.196025582540112,-0.780195791728564,46,1.69959040097345,"HED01",0.666797441831009,0.68861840300952,0.746802793686059,4706.66281355435,2005,"147"
"HED011","ARA06",2006,"HED01",1,0.469697475416075,0.321348564255787,-0.380942064630151,42,1.834204928326,"HED01",0.477519576631939,0.513233190474183,0.994966727371224,4707.45036667421,2006,"147"
"HED012","ARA07",2007,"HED01",0,0.298950499134094,-0.358877132107309,-0.566917373143699,40,2.50727756508879,"HED01",0.334560786044986,0.547476627556201,0.903000637276888,4707.05362035112,2007,"147"
"HED013","ARA10",2010,"HED01",0,-0.21329042971185,-0.491236180168143,-0.688688490638507,51,2.30535577405995,"HED01",0.605518916007741,0.739221294349804,0.825685052665283,4707.2758971341,2010,"147"
"HED014","ARA11",2011,"HED01",1,0.469697475416075,-0.307876068048129,-0.447293837906429,52,2.17074124670739,"HED01",0.448753813079167,0.622780862528076,0.903228076966765,4707.31174207924,2011,"147"
"HED015","ARA13",2013,"HED01",0,0.196502313364905,-0.372130354504317,-0.508530459098997,50,1.63228313729717,"HED01",0.931572106165094,0.40605535065099,0.656361947804189,4705.1940038967,2013,"147"
"COF01","ARB04",2004,"COF01",1,-0.725531358557795,-1.42537923151782,-0.854361863981172,11,-0.454242036667467,"COF01",0.0623211619443528,-0.326051394345185,-1.49867607369989,4690.66299868303,2004,"130"
"COF011","ARB06",2006,"COF01",1,-0.58893377753221,-0.750597379827832,-0.743539804852219,27,-0.858085618725138,"COF01",-1.65509867254446,-0.487836435400366,-2.20848973362424,4686.14752007205,2006,"130"
"COF012","ARB08",2008,"COF01",0,-2.05735777355725,-1.30368272218665,-1.06744685273613,11,-0.858085618725138,"COF01",-3.29530163338675,-0.420719849211681,-2.79837485089072,4683.08248142441,2008,"130"
"COF013","ARB09",2009,"COF01",0,-2.05735777355725,-1.50178911574391,-1.07528072519578,15,-0.992700146077695,"COF01",-3.48383826396023,-0.496651730138034,-2.50873941122547,4684.44083530549,2009,"130"
"COF014","ARB10",2010,"COF01",0,-1.81831200676248,-1.52746801492685,-1.06872521728446,13,-0.925392882401417,"COF01",-3.81923792336491,-0.692623748509881,-3.05539420006496,4680.71984151034,2010,"130"
"COF015","ARB11",2011,"COF01",1,-1.85246140201887,-1.53716509353082,-1.06460850713138,20,-1.12731467343025,"COF01",-3.2194958680228,-0.305939647571959,-2.72806751950391,4683.86658133615,2011,"130"
"COF016","ARB13",2013,"COF01",1,-2.02320837830085,-1.86044033969007,-1.05654608356803,20,-1.12731467343025,"COF01",-3.83907781158668,-0.74348402228452,-2.93845121191162,4681.19938314655,2013,"130"
"ALD98","ARD02",2002,"ALD98",1,-1.27192168266014,-0.714368788447142,-0.814953436692976,19,-0.386934772991189,"ALD98",-2.17860007666217,-0.0928212105943328,-2.11716010359572,4688.00485061548,2002,"132"
"ALD981","ARD04",2004,"ALD98",0,-0.452336196506624,-0.984837555857987,-0.783252242121926,25,-0.386934772991189,"ALD98",-1.65532941197121,-0.697852061396023,-2.25936027046712,4685.14712265512,2004,"132"
"PCN10","ARE17",2017,"PCN10",0,1.39173114733878,0.749685507038137,0.424102240844366,50,-0.252320245638632,"PCN10",0.894172565154332,-0.150176597040231,0.46543388807408,4702.23062156033,2017,"147"
"ATH87","ARI01",2001,"ATH87",0,0.60629505644166,-0.535757597723141,-0.325669865801029,24,-0.31962750931491,"ATH87",-0.795850238933018,-0.489324057856692,-1.82611422016394,4688.27766002967,2001,"132"
"ATH871","ARI93",1993,"ATH87",1,-0.691381963301398,-0.312372330961486,-0.796568898070012,33,-0.117705718286075,"ATH87",-0.878561315774163,-0.463796850553977,-2.01254268703483,4687.32369881301,1993,"132"
"ATH872","ARI94",1994,"ATH87",0,-0.110842243942662,-0.548011399069005,-0.789848420946761,33,0.084216072742761,"ATH87",-0.354302094768469,-0.598196549740507,-1.92149368882456,4687.37370572236,1994,"132"
"ATH873","ARI96",1996,"ATH87",1,-0.452336196506624,0.316774439517142,-0.33333166933598,32,0.15152333641904,"ATH87",0.101047000133189,-0.310625681853701,-1.33652189733514,4691.62109480659,1996,"132"
"ATH874","ARI97",1997,"ATH87",1,0.0599047323393199,0.28106053643254,-0.182828590003159,18,0.353445127447875,"ATH87",-0.0483671346260751,-0.354152707636639,-1.38618940744226,4691.19528335022,1997,"132"
"ATH875","ARI99",1999,"ATH87",1,0.640444451698057,-0.214811669163084,-0.810749011548471,27,0.353445127447875,"ATH87",-0.289433590390191,-0.514170964386908,-1.82180457030423,4688.21697629348,1999,"132"
"ARI96","ART00",2000,"ARI96",1,-0.623083172788606,0.210708197055215,-0.987250559487336,20,-0.050398454609796,"ARI96",-1.16617490467487,-0.41810416535572,-2.09673913112404,4687.00939048964,2000,"132"
"ARI961","ART99",1999,"ARI96",0,-1.30607107791653,-1.33314389494575,-1.04480123867408,12,0.353445127447875,"ARI96",-2.43746097383143,-0.312212892851849,-2.93386386520768,4682.69600173342,1999,"132"
